gene_orf	gene_symbol
CELE_Y59A8B.14	par-4
RP4-594I10.1	RCAN3
UNQ515/PRO1030	AGR2
UNQ491/PRO1007	LYPD3
CELE_Y55B1AL.3	helq-1
C41D11.8	cps-6
DMEL_CG2213	msd5
DMEL_CG13914	msd1
AT3G26470	AT3G26470
AT1G22280	PAPP2C
AT1G18260	AT1G18260
AT5G35080	AT5G35080
DMEL_CG8828	dgt5
DMEL_CG3221	dgt3
AT1G06290	ACX3
AT4G32180	PANK2
AT2G41220	GLU2
AT1G15690	AVP1
AT1G55860	UPL1
AT2G41620	AT2G41620
AT5G63570	GSA1
AT1G80660	HA9
AT5G20830	SUS1
AT4G23100	GSH1
RP23-16P3.2	Adrm1
RPR1	RPR1
PIG19	LDHA
YKL194C	MST1
SPAC57A10.03	cyp1
YLR077W	FMP25
YML030W	RCF1
YBR255C-A	YBR255C-A
TLC1	TLC1
TCAG7.1258	NCAPG2
AT3G63500	AT3G63500
AT5G48160	OBE2
AT5G13800	PPH
AT4G22920	NYE1
AT4G37000	ACD2
AT3G44880	ACD1
AT4G13250	NYC1
AT5G04900	NOL
YOL086W-A	MHF1
YDL160C-A	MHF2
YCL019W	YCL019W
RP23-428M13.1	Cd40
AT5G61060	HDA05
AT5G03740	HD2C
RP11-452J6.1	CNST
RP11-350O14.7	TPRN
DAAP-285E11.2	PPP1R18
SPBC36B7.06C	mug20
DDB_G0272825	rps4
SPAC22E12.19	snt1
SPCC1235.09	hif2
SPAC23D3.01	pdp3
SPBC17D11.04C	nto1
SPAC17G8.13C	mst2
SPAC22H12.02	tfg3
SPAC823.14	ptf1
SPAC6F6.09	eaf6
SPBC16G5.13	ptf2
SPBC1734.15	rsc4
RP11-19J3.3	CENPP
SPBC359.03C	aat1
AT1G53230	TCP3
AT2G31070	TCP10
SPBC337.13C	gtr1
SPCC777.05	gtr2
SPAC23H4.14	vam6
SPBC29A3.13	pdp1
RP23-191E3.4	Drg1
RP23-111F12.2	Zc3h15
HSPC303	ZC3H15
RP11-160E12.5	PHF10
SPAC664.02C	arp8
SPAC29B12.01	ino80
SPAC12G12.03	cip2
RP23-393G10.2	Taf3
RP23-395E10.6	Thra
AT1G07430	HAI2
AT4G09550	GIP1
AT5G05620	GCP2
AT5G06680	SPC98
AT3G61650	TUBG1
AT1G73790	AT1G73790
SPAC823.15	ppa1
SPAC1782.05	ypa2
SPCC13B11.01	adh1
SPBC2D10.10C	fib1
SPBC19C2.07	fba1
RDN25-2	RDN25-2
RP23-135F6.1	Drg2
SPAC31A2.16	gef2
YDR452W	PPN1
YLR065C	ENV10
SPAC8C9.14	prr1
SPCC1919.03C	amk2
SPCC74.03C	ssp2
SPAC1556.08C	cbs2
AT1G76710	SDG26
AT1G77300	EFS
AT5G50200	WR3
AT1G08090	NRT2:1
AT1G08100	NRT2.2
AT5G60780	NRT2.3
AT5G60770	NRT2.4
AT1G12940	NRT2.5
AT3G45060	NRT2.6
SPBC887.14C	pfh1
RP23-27I6.3	Was
HHV5WTGP032	UL27
AT2G34260	AT2G34260
AT5G36250	AT5G36250
AT2G45430	AHL22
AT3G44680	HDA9
AT5G49880	AT5G49880
AT1G79280	NUA
RP23-170A23.3	Smurf2
AT3G01680	AT3G01680
AT1G15580	IAA5
YPL015C	HST2
RP23-304D11.1	Rapgef1
C17G1.7	cysl-1
HIV2GP1	gag-pol
CELE_T05H10.5	ufd-2
CTA-150C2.19-001	APOBEC3F
DMEL_CG4699	nsl1
DMEL_CG10042	MBD-R2
AT2G45890	ROPGEF4
DMEL_CG6302	l(3)01239
DMEL_CG6719	mgr
DMEL_CG5081	Syx7
DMEL_CG12323	Prosbeta5
DMEL_CG9327	Prosalpha3
DMEL_CG5266	Prosalpha2
DMEL_CG18495	Prosalpha1
DMEL_CG10938	Prosalpha5
DMEL_CG3422	Prosalpha4
DMEL_CG4463	Hsp23
DMEL_CG4183	Hsp26
DMEL_CG7359	Sec22
DMEL_CG4412	ATPsyn-Cf6
DMEL_CG4307	Oscp
DMEL_CG8189	ATPsyn-b
DMEL_CG8705	pnut
DMEL_CG6030	ATPsyn-d
DMEL_CG4692	CG4692
DMEL_CG2968	l(1)G0230
DMEL_CG11154	ATPsyn-beta
DMEL_CG3612	blw
DMEL_CG2621	sgg
DMEL_CG11523	CG11523
DMEL_CG4214	Syx5
DMEL_CG9032	sun
DMEL_CG1515	Ykt6
DMEL_CG12008	kst
DMEL_CG1977	alpha-Spec
DMEL_CG15009	ImpL2
DMEL_CG8167	Ilp2
DMEL_CG11278	Syx13
DMEL_CG13900	CG13900
DMEL_CG11985	CG11985
DMEL_CG3988	gammaSnap1
DMEL_CG8877	Prp8
DMEL_CG4849	CG4849
DMEL_CG2807	CG2807
DMEL_CG4422	Gdi
DMEL_CG9575	Rab35
DMEL_CG3738	Cks30A
DMEL_CG2072	Mad1
DMEL_CG40452	Snap25
DMEL_CG30152	CG30152
DMEL_CG5714	ecd
DMEL_CG14224	Ubqn
DMEL_CG8092	row
DMEL_CG5931	l(3)72Ab
DMEL_CG6105	l(2)06225
DMEL_CG18000	sw
DMEL_CG10751	robl
DMEL_CG31137	twin
DMEL_CG5684	Pop2
DMEL_CG5965	woc
DMEL_CG13400	D12
DMEL_CG15678	pirk
DMEL_CG3321	CG3321
DMEL_CG5940	CycA
DMEL_CG4930	EndoGI
DMEL_CG8862	EndoG
DMEL_CG4336	rux
DMEL_CG12031	MED14
DMEL_CG5935	Dek
DMEL_CG1558	Kmn1
DMEL_CG18156	Mis12
DMEL_CG5378	Rpn7
DMEL_CG32505	Pp4-19C
DMEL_CG2890	PPP4R2r
DMEL_CG12352	san
DMEL_CG30390	Sgf29
DMEL_CG30176	wibg
DMEL_CG3319	Cdk7
DMEL_CG7614	Mat1
DMEL_CG7445	fln
DMEL_CG17927	Mhc
DMEL_CG7405	CycH
DMEL_CG34407	Not1
DMEL_CG11992	Rel
DMEL_CG10545	Gbeta13F
DMEL_CG8261	Ggamma1
DMEL_CG4528	snf
DMEL_CG1406	U2A
DMEL_CG9958	Snapin
DMEL_CG9200	Atac1
DMEL_CG10370	Rpt5
DMEL_CG9588	CG9588
DMEL_CG7528	Uba2
DMEL_CG12276	Aos1
DMEL_CG16940	CG16940
DMEL_CG1091	CG1091
DMEL_CG13645	Nmnat
DMEL_CG6192	Reps
DMEL_CG13298	CG13298
DMEL_CG6413	Dis3
DMEL_CG14786	CG14786
DMEL_CG8021	CG8021
DMEL_CG14222	NAA20
DMEL_CG4845	psidin
DMEL_CG9242	bur
DMEL_CG1490	Usp7
DMEL_CG4978	Mcm7
DMEL_CG10414	Atac2
DMEL_CG13434	Nnf1a
DMEL_CG17248	nSyb
DMEL_CG4260	AP-2alpha
DMEL_CG1664	sbr
DMEL_CG12752	Nxt1
DMEL_CG10520	tub
DMEL_CG2078	Myd88
DMEL_CG11856	Nup358
DMEL_CG7643	ald
DMEL_CG9206	Gl
DMEL_CG8269	Dmn
DMEL_CG17492	mib2
DMEL_CG2503	atms
DMEL_CG11990	hyx
DMEL_CG1483	Map205
DMEL_CG3717	bcn92
DMEL_CG12264	CG12264
DMEL_CG7940	Arp5
DMEL_CG12659	CG12659
DMEL_CG11148	CG11148
DMEL_CG33100	4EHP
DMEL_CG7452	Syx17
DMEL_CG6703	CASK
DMEL_CG1258	pav
DMEL_CG13345	tum
DMEL_CG8764	ox
DMEL_CG4169	CG4169
DMEL_CG7057	AP-2mu
DMEL_CG33101	Nsf2
DMEL_CG9042	Gpdh
DMEL_CG1721	Pglym78
DMEL_CG6148	Past1
DMEL_CG4184	MED15
DMEL_CG17002	CG17002
DMEL_CG7597	Cdk12
DMEL_CG6197	fand
DMEL_CG3508	Hexim
DMEL_CG42569	Larp7
DMEL_CG11132	DMAP1
DMEL_CG9667	CG9667
DMEL_CG7913	PP2A-B
DMEL_CG3279	Vti1
DMEL_CG10712	Chro
DMEL_CG7752	pzg
DMEL_CG6750	CG6750
DMEL_CG2943	CG2943
DMEL_CG1891	sax
DMEL_CG14026	tkv
DMEL_CG4857	tyf
DMEL_CG5166	Atx2
DMEL_CG5118	CG5118
DMEL_CG34132	CG34132
DMEL_CG2368	psq
DMEL_CG6174	Arp1
DMEL_CG10447	Nf-YB
DMEL_CG31852	Tap42
DMEL_CG2525	Hus1-like
DMEL_CG3240	Rad1
DMEL_CG44425	Bx
DMEL_CG4039	Mcm6
DMEL_CG8821	vis
DMEL_CG8819	achi
DMEL_CG17437	wds
DMEL_CG2916	Sep5
DMEL_CG15481	Ski6
DMEL_CG17947	alpha-Cat
DMEL_CG2910	nito
DMEL_CG7358	CG7358
DMEL_CG7538	Mcm2
DMEL_CG6444	Dpy-30L1
DMEL_CG1908	Lint-1
DMEL_CG9493	Pez
DMEL_CG4460	Hsp22
DMEL_CG8950	CG8950
DMEL_CG31658	Nnf1b
DMEL_CG14641	CG14641
DMEL_CG9799	CG9799
DMEL_CG8064	CG8064
DMEL_CG14220	CG14220
DMEL_CG12357	Cbp20
DMEL_CG15445	CG15445
DMEL_CG14614	wap
DMEL_CG42273	mnb
DMEL_CG3320	Rab1
DMEL_CG7787	CG7787
DMEL_CG5851	sds22
DMEL_CG14804	Vps26
DMEL_CG3710	TfIIS
DMEL_CG17118	CG17118
DMEL_CG4400	Brms1
DMEL_CG16788	RnpS1
DMEL_CG5303	mei-S332
DMEL_CG4379	Pka-C1
DMEL_CG7345	Sox21a
DMEL_CG1484	fliI
DMEL_CG8578	CG8578
DMEL_CG12325	CG12325
DMEL_CG5837	Hem
DMEL_CG4636	SCAR
DMEL_CG7435	Arl2
DMEL_CG7261	CG7261
DMEL_CG4931	Sra-1
DMEL_CG2161	Rga
DMEL_CG30173	HSPC300
DMEL_CG3715	Shc
DMEL_CG8233	Rcd1
DMEL_CG8426	Not3
DMEL_CG3458	Top3beta
DMEL_CG13472	Tdrd3
DMEL_CG15106	Jheh3
DMEL_CG9186	CG9186
DMEL_CG9754	CG9754
DMEL_CG4118	nxf2
DMEL_CG8491	kto
DMEL_CG3945	Rad9
DMEL_CG12320	CG12320
DMEL_CG14029	vri
DMEL_CG7074	mio
DMEL_CG8722	Nup44A
AT3G04660	AT3G04660
AT3G62230	AT3G62230
AT1G78100	AT1G78100
MCG_134223	Zfp932
LA16C-314G4.2	PDIA2
CDABP0092	B2M
AT5G06850	AT5G06850
AT5G04560	DME
AT2G30620	AT2G30620
YDL223C	HBT1
AT5G13270	RARE1
AT3G15000	AT3G15000
AT5G37780	CAM1
AT3G48670	IDN2
AT1G15910	AT1G15910
AT4G00380	AT4G00380
RP23-44L6.1	Ctcfl
RP11-339B21.11	URM1
AT4G13520	SMAP1
AT2G39840	TOPP4
AT4G40100	AT4G40100
AT2G22475	GEM
AT2G37678	FHY1
AT4G35790	PLDDELTA
AT3G04120	GAPC1
AT5G49230	HRB1
AT5G63870	PP7
DMEL_CG15835	Kdm4A
AT4G28110	MYB41
RP23-94L18.2	Ptprf
DMEL_CG32343	Atac3
DMEL_CG16973	msn
AT1G12360	KEU
AT2G05210	AtPOT1a
AT3G57150	NAP57
AT1G16970	KU70
AT1G48050	KU80
HHV8GK18_GP64	vIRF-3
HIV2GP3	HIV2gp3
RP23-151A15.11-002	Khdrbs1
YKR017C	HEL1
CELE_F29B9.4	psr-1
CELE_Y106G6E.5	ced-12
YPL098C	MGR2
YHR162W	MPC2
YGL080W	MPC1
YGR243W	MPC3
RP23-308N2.10-003	Zbtb17
B2592	clpB
RCJMB04_7G5	HSPD1
RCJMB04_5E12	YWHAG
RCJMB04_3L24	LIN7B
SPCC1393.05	ers1
SPAC6F12.09	rdp1
SPBC26H8.07C	nda3
SPAC3G9.07C	hos2
SPAC22E12.11C	set3
SPBC9B6.05C	lsm3
SPBC20F10.09	lsm5
SPCC285.12	lsm7
YNL196C	SLZ1
HCG_2033729	RAVER1
RP11-165N19.1	PTBP3
HSPC206	PPHLN1
RP11-288G3.1	RIOK1
HCG_20114	RBM33
RP1-118B18.1	GMDS
HUSSY-12	BRSK2
RP23-71K8.3	Rlim
SPBC13E7.01	cwf22
SPAC19G12.07C	rsd1
SPBC11G11.06C	sme1
SPBC30D10.06	lsm4
SPBC1773.01	far8
SPAC1F5.02	pdi1
AT3G22380	TIC
AT3G12360	ITN1
AT1G50240	FU
AT4G14150	PAKRP1
AT3G23670	KINESIN-12B
DMEL_CG8873	jet
DMEL_CG3772	cry
AT3G62720	XT1
AT4G02500	XT2
AT1G74380	XXT5
AT3G06400	CHR11
AT1G28420	HB-1
AT5G44180	AT5G44180
RP5-876B10.3	SPRTN
AT1G50370	AT1G50370
AT5G63980	SAL1
AT5G57090	EIR1
AT4G08480	MAPKKK9
DMEL_CG7619	Rpn10
SPAPB17E12.06	sos7
AT2G46500	PI4K GAMMA 4
AT4G38630	RPN10
AT2G21270	UFD1
AT3G23430	PHO1
AT2G33770	PHO2
UNQ539/PRO1082	CLEC7A
YHR087W	RTC3
AT1G12480	OZS1
HSPC014	POMP
AT1G35470	AT1G35470
AT1G61150	AT1G61150
AT3G55070	AT3G55070
AT4G37880	AT4G37880
AT5G08560	AT5G08560
DAAP-57C1.3	PSMB8
DADB-223G19.3	PSMB9
PP1158	ANGPTL4
DMEL_CG5591	Lpt
SIVGP3	vpx
RP23-23G3.6	Psma7
RP23-387C21.3	Mavs
SPAC607.05	rpn9
HHV5WTGP100	UL114
HHV5WTGP048	UL44
SPBC16C6.07C	rpt1
SPAC1687.13C	csn5
RP23-120N11.1	Rad23b
RP1-309K20.5	RBM12
RP23-9N11.3	Phf19
RP23-94N18.3	E130012A19Rik
AT1G72750	TIM23-2
AT2G42210	OEP16-3
HHV8GK18_GP54	K8
BOS_19254	PSMC5
SPCC188.13C	dcr1
UNQ3027/PRO9828	FGF23
RP23-382C19.1	Nbr1
PIG14	SERPINH1
HHV8GK18_GP81	HHV8GK18_gp81
AT4G21980	APG8A
RP1-164F3.1	RPL36A
RP11-485H8.1	NHLH2
AT5G58080	RR18
AT1G02205	CER1
AT5G57800	CER3
AT2G46650	CB5-C
AT5G48810	CB5-D
DMEL_CG1749	CG1749
RP11-266I14.1	SGIP1
DMEL_CG43479	nwk
DMEL_CG1099	Dap160
RP23-48A2.3	Mybbp1a
RP23-456O18.1	Srebf1
RP3-389A20.1	SCML1
SPAC139.06	hat1
RP23-199A2.1	Vezf1
RP11-205M20.6	NDUFB6
RP23-480B19.14-001	Hist1h1a
MIG1	VPS4B
UNQ6188/PRO20213	RLN3
PRO3094	UBE2Q1
RP11-178C10.1	UBAC2
HSPC035	SARAF
AT4G23650	CDPK6
AT4G22540	ORP2A
AT2G39050	AT2G39050
AT4G35570	HMGB5
RP23-135A21.2	Mysm1
PP12899	ANKRD27
CDABP0067	HLA-B
RP11-523H24.1	MPHOSPH8
RP11-229A19.2	TRIM45
CELE_F27D9.1	unc-18
CELE_F56A8.7	unc-64
CELE_C38H2.1	tbc-8
C32E8.7	ric-19
Y47G6A.4	rde-10
B0564.11	rde-11
CELE_F52G2.2	rsd-2
R09A1.1	ergo-1
MCG_22690	Dlg2
RP23-125F21.1	Fgr
RP23-142M12.1	Dlg3
RP23-326K2.3	Nsf
RP23-340E18.5	Camk2b
RP23-149O3.6	Psmd10
DMEL_CG6531	wgn
RP5-1000E10.3	CSDE1
SPBC25D12.02C	dnt1
AT4G00220	JLO
RP4-691N24.2	GINS1
AT1G06160	ORA59
AT1G55600	WRKY10
AT2G26950	MYB104
AT2G31230	ERF15
AT1G68880	bZIP
CELE_K09G1.4	dop-2
CELE_B0207.3	gpa-14
RP11-63L7.1	GABRR1
RP5-956O18.1	GALNT2
AT2G26040	PYL2
AT1G73000	PYL3
AT5G45860	PYL11
AT5G45870	PYL12
AT5G59220	HAI1
AT2G29380	HAI3
HHV4_LMP-1	LMP1
PSEC0133	SHISA5
RP23-153M14.2	Sfpq
Y47D3A.27	teg-1
CELE_Y92C3B.2	uaf-1
F18C5.2	wrn-1
RP23-461C4.8	Slc4a1
RP23-281C18.14-001	Psme3
RP11-459E2.1	TDRD3
RP23-136K12.1	Crk
RP11-571F15.1	UBAP1
DMEL_CG7037	Cbl
PP5644	MAFIP
SPBC1711.14	rec15
SPBC21B10.12	rec6
DMEL_CG12072	wts
HSD8	CCDC91
XX-FW83563B9.3	TAZ
RP23-370H21.3	Dnttip1
CD4.4	vps-37
C09G12.9	tsg-101
CELE_Y87G2A.10	vps-28
C06A6.3	mvb-12
RP11-181G12.3	C1orf86
CELE_C09G12.8	ced-10
C35C5.4	mig-2
PRO1933	SCD
CELE_Y94H6A.9	ubxn-2
CELE_F48A11.5	ubxn-3
H06H21.6	ubxn-6
CELE_F19B6.2	ufd-1
T01E8.9	ubxn-5
RP11-624L12.2	MYOF
BOS_18906	UBB
F26H9.7	uev-3
CELE_F42G8.4	pmk-3
PRO0684	SERPINA1
UNQ1846/PRO3574	LAPTM4A
PSEC0001	LAPTM4B
RP11-63P12.8	ZFAND5
DMEL_CG7186	SAK
RP23-87L24.4	Map1lc3a
RP23-303F24.1	Irf1
BOS_7381	PRKACA
RP11-18I14.1	FBXL15
RP3-330O12.3	FBXO6
D2045.6	cul-1
DMEL_CG16932	Eps-15
DMEL_CG8532	lqf
RP11-529I10.3	FBXW4
SPAC1805.05	cki3
DMEL_CG9699	Sep4
DMEL_CG10523	park
DMEL_CG5659	ari-1
RP23-226J16.7	Aff4
RP23-324H24.1	Aff2
CELE_H15N14.1	adr-1
W02G9.2	kel-8
RP23-336G7.2	Jak1
DMEL_CG8337	E(spl)malpha-BFM
DMEL_CG6099	E(spl)m4-BFM
RP23-379M5.2	Optn
RP11-404F11.2	TBC1D2
FP2461	TBC1D10B
RP3-417M14.2	MAK
RP23-193O17.2	Lamp2
UNQ1878/PRO4321	ERLEC1
RP23-446N16.3	Fbxw2
AT5G43470	RPP8
AT3G50080	VFB2
RP23-118G3.1	Tollip
CELE_F35D6.1	fem-1
T19C3.8	fem-2
CELE_C01F6.4	fem-3
C08B11.1	zyg-11
HHV6GP083	U90
MNCB-0190	Usp2
RP11-476I15.3	PCMTD2
PP7759	LRRC41
HCG_40978	ZNRF3
RP11-566C13.1	RSPO1
HHV5WTGP026	UL21A
AT4G31160	DCAF1
Y108G3AL.1	cul-3
RP23-399D3.1	Ppp2r4
RP23-46P4.8	Dll4
RP4-680D5.5	DDI2
AT2G25090	CIPK16
AT3G01130	AT3G01130
AT4G31570	AT4G31570
AT1G19220	ARF19
RP4-650H14.3	PLEKHG5
RP1-295F6.1	ZFAND3
RP11-536C5.4	ATP1A2
HMFN2073	PID1
RP5-1013A10.1	ECI2
MSTP053	SEC23IP
DAQB-143M3.4	NOTCH4
DN-491F10.4	Arrb2
PP10187	CCM2
AT2G42400	VOZ2
RP11-767N6.6	IPP
CGI-73	KBTBD2
RP11-54O7.6	KLHL17
RP1-108K11.2	KCTD20
HCG_18301	NUDCD3
HSPC200	ANKRD39
AC004383.6	PHF6
RP11-5F19.1	KCTD3
RP11-316M1.10	MLLT11
RP5-902P8.6	SDF4
PSEC0230	SRPRB
RP11-344N10.1	P4HA1
PRO1677	ZC3HAV1
HCG_2011013	MTMR3
UNQ1941/PRO4424	SDF2L1
UNQ2423/PRO4981	FAR1
CGI-25	NOSIP
199G4	RBM22
RP4-583P15.2	RTEL1
RP11-342J4.3	DIS3
RP1-37M3.7	ATXN10
RP11-185C18.1	RCBTB1
PSEC0262	SSR1
RP1-236A3.1	FARS2
HSPC117	RTCB
RP1-14O9.1	MAGED2
RP11-175D17.6	RPL35
RP11-54A4.9	TARS2
RP4-659I19.2	NTPCR
RP1-292B18.2	MTHFD1L
RP11-452K12.13-007	RRP12
RP5-832C2.1	ATAD3A
DADB-159G18.1	RPS18
LA16C-398G5.1	RAB40C
RP3-442A17.1	TULP4
RP11-545I5.4	FBXO30
HCG_2011110	FBXO10
RP3-508I15.1	GTPBP1
DADB-333F21.5	HSPA1L
HOYS7	UBE2Z
HHV4_BPLF1	BPLF1
F11F1.7	ttr-52
RP4-769N13.4	GPRASP2
CELE_T07A5.6	unc-69
CELE_C01G10.11	unc-76
DMEL_CG10667	Orc1
DMEL_CG3041	Orc2
YPR199C	ARR1
RP23-392I3.6	Jup
RP23-291K6.1	Slit3
RP5-1052M9.2	TENM1
HSPC286	NHP2
DMEL_CG5366	Cand1
B0547.1	csn-5
CELE_Y67H2A.6	csn-6
DMEL_CG4466	Hsp27
AT1G79650	RAD23B
AT2G17200	DSK2
AT2G26590	RPN13
F45H11.2	ned-8
D2013.7	eif-3.F
RP23-39I7.6	Sh3kbp1
RP23-463K8.9	Wipf1
YFL042C	YFL042C
YBL022C	PIM1
YCR024C-A	PMP1
YHR037W	PUT2
YLR066W	SPC3
YKL120W	OAC1
YLL048C	YBT1
YLR104W	LCL2
YLR348C	DIC1
YGR282C	BGL2
YLR404W	FLD1
YML120C	NDI1
YNL322C	KRE1
UNQ758	CLDN17
RP23-427P14.3	Wrnip1
T09B4.10	chn-1
F25H2.8	ubc-25
RP23-355L10.8	Erbb2
RP11-54H19.7	SMG5
RP11-67C2.1	MARCH8
HHV1GP079	UL54
RP23-99M13.4	Gps1
RP1-193B12.1	HIST1H3I
RP23-464C2.8	Rabl6
AC004754.2	RGS11
YKL072W	STB6
YJL049W	YJL049W
DADB-129D20.3	DHX16
CGI-84	CHMP2B
RP5-975D15.2	GNG12
DMEL_CG5370	Dcp-1
RP23-67E18.3	Spop
HHV8GK18_GP61	ORF57
RP3-322G13.10-004	GZF1
RP11-57G10.4	HERC4
HSPC042	COMMD2
HT002	COMMD5
RP11-173B14.2	COMMD6
RP11-503P21.3	COMMD7
HSPC305	COMMD10
HHV5WTGP076	UL82
HCG_38480	KCTD1
HHV5WTGP108	UL123
HHV5WTGP107	UL122
UNQ651/PRO1281	CHPF
RP23-61O3.7	Pcif1
DN-279H6.1	Rabep1
RP11-336K24.1	KIAA0907
RP11-66D17.11-004	PRCC
HHV4_BBLF2/BBLF3	BBLF2-BBLF3
RP23-338A17.3	Tro
RP23-157J11.1	Tnfrsf1b
HCG_21984	CSNK2A3
UNQ5814	ARID5A
YDL022W	GPD1
RP11-350E12.2	CDK20
RP5-1189B24.5	THOC2
PSEC0006	THOC6
MSTP054	KIAA1429
DMEL_CG18271	slx1
RP1-230G1.3	TIMP1
FKSG26	TCF25
RP11-465F21.2	PDCL
CELE_Y69A2AR.7	CELE_Y69A2AR.7
D2007.5	atg-13
RP23-71G11.1	Fhl1
RP23-9N11.6	Traf1
AT2G26670	TED4
AT5G20140	AT5G20140
AT2G41240	BHLH100
AT5G04150	BHLH101
RP23-382C18.1	Ccng1
BOS_15860	GNB1
RP23-14F5.6	Gnb2l1
RP23-183D11.1	Gnb1
RP4-635A23.5	IVNS1ABP
BM-013	MEX3C
RP23-20F9.8	Ddb2
RP11-276E15.2	INIP
RP3-429G5.4	SNX3
RP23-133A3.3	Cep57
XXBAC-BCX535A19.3	LENG8
RP1-300G12.3	FAM46A
RP11-344H11.8	FAM46B
HCG_1641409	ZG16
RP11-463P17.6	ZNF488
RP4-663D7.1	GMEB2
RP11-137L10.4	USP54
HSPC002	ELP5
BLOCK24	HNRNPLL
RP1-64K7.1	RALY
RP1-171N11.1	KIAA1244
AT2G26975	AT2G26975
RP11-94I2.2	NBPF11
AT1G04510	MAC3A
AT1G09770	CDC5
RP23-29K12.8	Vps16
RP23-46P4.6	Vps18
RP23-162M7.1	Pls3
RP23-436J19.3	Abi1
RP23-341B14.1	Wasf2
RP23-370F7.1	Cyfip2
DMEL_CG5483	Lrrk
AGAP_AGAP006958	HSP83_ANOGA
DMEL_CG12101	Hsp60
AT3G17930	AT3G17930
ARTHCP054	petD
BOS_21205	ZFYVE20
F58G6.1	amph-1
RP5-1002M8.3	NAA20
RP3-438D16.1	RAB33A
YOL073C	DSC2
YOR223W	DSC3
RP23-250F8.3	Prame
RP23-195K8.11-001	Tln1
RP23-359O5.1	Fermt2
RP6-14C6.1	TRO
AT3G04610	FLK
RP23-441I8.2	Trim17
RP11-714M16.1	GRK5
AT5G48150	PAT1
AT2G04890	SCL21
MNCB-2243	Bag3
RP23-247I1.3	Capzb
UNQ695/PRO1340	CDH16
RP11-165P4.4	RAB14
HLC10	MAEA
RCOM_2159910	RCOM_2159910
UNQ9427/PRO34683	DNAJB14
T1	TRAPPC9
CGI-87	TRAPPC12
CGI-104	TRAPPC4
RP11-291L19.3	MMACHC
HSPC161	MMADHC
HHV8GK18_GP52	ORF50
PP13624	VPS53
DADB-91M20.1	VPS52
PP5382	VPS51
RCG_20808	Calm1
SPAC23C4.03	hrk1
YCR010C	ADY2
YNR002C	ATO2
RP1-106H8.3	DNM3
HRIHFB2017	BMP2K
RP11-427H3.3	AAK1
RP11-349J5.1	HBS1L
HHV1GP107	US11
RP11-412P1.1	CDK5RAP2
RP11-8I8.2	ROR2
CELE_M03A1.6	ipla-1
RP1-37C10.4	ATP13A2
DMEL_CG4523	Pink1
CELE_F10E9.6	mig-10
B0336.6	abi-1
WUGSC:H_GS034D21.1	DOCK4
RP23-283N14.17-001	Hist1h1e
HHV5WTGP040	UL35
RP11-395P17.9	SWI5
RP11-373N18.1	SFR1
DMEL_CG3869	Marf
DMEL_CG11624	Ubi-p63E
TCCCIA00113	IP6K2
RP23-110A15.1	Efnb1
AT4G31730	GDU1
AT3G09770	AT3G09770
AT4G25760	GDU2
AT5G57685	GDU3
AT2G24762	GDU4
AT5G24920	GDU5
AT3G30725	GDU6
AT5G38770	GDU7
YOR030W	DFG16
UNQ743/PRO1471	DNAJB9
AT3G51820	G4
AT5G37770	TCH2
AT4G03415	AT4G03415
AT4G34040	AT4G34040
UNQ437/PRO868	TNFRSF21
SIVGP5	rev1
RP1-95L4.1	AIG1
RP11-274J16.4	FGD3
PSEC0241	COLGALT1
TCAG7.927	GUSB
RP3-510D11.3	H6PD
RP5-1077B9.2	PLOD1
PSEC0245	NUP210
RP3-508I15.17-002	JOSD1
RP6-232G24.1	MAGEC1
RP23-401J24.1	Prnp
RP23-422H14.2	Clstn1
RP23-389M3.1	Plp1
RP23-130J1.1	Mid1ip1
CELE_C50E10.4	sop-2
RP23-192G18.4	Plagl2
Y105E8B.4	bath-40
F37A4.9	bath-41
C52B11.2	inso-1
CELE_D2045.8	D2045.8
CELE_B0281.5	CELE_B0281.5
CELE_W01A11.3	unc-83
RP23-237P10.2	Canx
SBBI68	PGLYRP1
AT1G05000	AT1G05000
AT1G66160	CMPG1
DDB_G0288065	cdcD
AT1G07000	EXO70B2
AT5G10720	HK5
Y45F10D.9	sas-6
CELE_F35B12.5	sas-5
RP23-54C14.4	Syp
RP23-272N19.5	Park7
AT1G71030	MYBL2
K03H1.2	mog-1
EEED8.5	mog-5
CELE_C04H5.6	mog-4
RP11-54A4.10-004	ENSA
UNQ6308/PRO20933	BDH2
AT5G55160	SUMO2
YML061C	PIF1
DC37	MRPS15
YPL236C	ENV7
MDS029	CISD1
SPBC19C7.10	bqt4
SPAC19G12.13C	poz1
BOS_19653	CALM
AT5G21326	AT5G21326
SPAC19D5.04	ptr1
SPAC140.03	arb1
SPAC13G7.07	arb2
SPAC4F10.18	nup37
SPBC3B9.16C	nup120
SPBC29A10.06C	ely5
SPBC27B12.08	sip1
SPBC947.02	apl2
SPCP1E11.06	apl4
SPBC582.04C	dsh1
RP1-117P20.1	SELL
SPBC1718.07C	zfs1
SPCC1494.03	arz1
SPBC8E4.12C	ecl3
SPAC6B12.02C	mus7
SPAC589.03C	SPAC589.03c
SPCC1223.13	cbf12
SPAC1002.08C	mtf1
SPAC12G12.04	mcp60
SPBC2G2.14	csi1
RP3-495O10.2	PACRG
RP23-275N2.2	Elk1
MNCB-0301	Parva
RP3-453C12.9	DBNDD2
LA16C-313D11.4	RHOT2
SPBC18H10.15	cdk11
